source,t_start,t_end,arp_rate,arp_req_reply_ratio,mac_entropy,unique_src_macs,unique_dst_macs,frame_len_mean,frame_len_std,frame_len_min,frame_len_max,broadcast_ratio,total_packets,label
victima1,1781423583.827428,1781423583.833449,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423583.833463,1781423583.838813,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423583.838826,1781423583.843611,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423583.843621,1781423583.85088,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423583.850894,1781423583.855573,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423583.859055,1781423583.862785,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423583.862802,1781423583.868664,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423583.86868,1781423583.872455,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423583.872468,1781423583.879096,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423583.879109,1781423583.883887,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423583.883902,1781423583.890756,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423583.89077,1781423583.895135,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423583.895152,1781423583.902738,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423583.902749,1781423583.910487,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423583.9105,1781423583.91369,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423583.913703,1781423583.919876,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423583.919889,1781423583.923415,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
